item,itemLabel,alias
http://www.wikidata.org/entity/Q7244738,"Princess Marie, Princess Gundakar of Liechtenstein",Princess Marie Isabelle Marguerite Anne Geneviève d'Orléans
http://www.wikidata.org/entity/Q7284421,"Prince Raimundo, 2nd Duke of Castel Duino",Raymond von Thurn und Taxis
http://www.wikidata.org/entity/Q7284421,"Prince Raimundo, 2nd Duke of Castel Duino","Raymund della Torre et Tasso, 2nd Duca di Castel Duino"
http://www.wikidata.org/entity/Q7352653,Robin Medforth-Mills,Dr. Leslie Robin Medforth-Mills
http://www.wikidata.org/entity/Q7352653,Robin Medforth-Mills,Leslie Robin Medforth-Mills
http://www.wikidata.org/entity/Q7367831,"Rose Leveson-Gower, Countess Granville",Lady Rose Constance Bowes-Lyon
http://www.wikidata.org/entity/Q7368919,Rosie Stancer,Rose Cecilia Clayton
http://www.wikidata.org/entity/Q7368919,Rosie Stancer,Rose Cecilia Stancer
http://www.wikidata.org/entity/Q7368919,Rosie Stancer,Rose Clayton
http://www.wikidata.org/entity/Q7368919,Rosie Stancer,Rose Stancer
http://www.wikidata.org/entity/Q7368919,Rosie Stancer,Rosie Clayton
http://www.wikidata.org/entity/Q7422845,Sarah Troughton,Sarah Colman
http://www.wikidata.org/entity/Q7422845,Sarah Troughton,Sarah Rose Colman
http://www.wikidata.org/entity/Q7422845,Sarah Troughton,Sarah Rose Troughton
http://www.wikidata.org/entity/Q7518316,"Simon Bowes-Lyon, 19th Earl of Strathmore and Kinghorne","Simon Patrick Bowes-Lyon, 19th Earl of Strathmore and Kinghorne"
